Date,Avg_Magnitude_Forecast,Avg_Magnitude_Lower_CI,Avg_Magnitude_Upper_CI,Date,Meteor_Count_Forecast,Meteor_Count_Lower_CI,Meteor_Count_Upper_CI,Date,Peak_Activity_Forecast,Peak_Activity_Lower_CI,Peak_Activity_Upper_CI
2025-02-13 21:55:00,23204.615551950836,22408.854127765233,24000.37697613644,2025-02-13 21:55:00,153961.44444444444,135210.5469512568,172712.34193763207,2025-02-13 21:55:00,0.4444444444444444,0.3321339532703053,0.5567549356185835
2025-02-14 21:55:00,23206.73860743707,22403.362067884733,24010.115146989407,2025-02-14 21:55:00,153961.44444444444,135035.68878505685,172887.20010383203,2025-02-14 21:55:00,0.4444444444444444,0.3310591872351551,0.5578297016537337
2025-02-15 21:55:00,23208.861662923304,22397.941516186107,24019.7818096605,2025-02-15 21:55:00,153961.44444444444,134862.43143964093,173060.45744924794,2025-02-15 21:55:00,0.4444444444444444,0.32999451357047227,0.5588943753184166
2025-02-16 21:55:00,23210.984718409538,22392.59049527165,24029.378941547428,2025-02-16 21:55:00,153961.44444444444,134690.7317374254,173232.15715146347,2025-02-16 21:55:00,0.4444444444444444,0.3289396531944823,0.5599492356944066
2025-02-17 21:55:00,23213.107773895772,22387.307117231794,24038.90843055975,2025-02-17 21:55:00,153961.44444444444,134520.548407603,173402.34048128588,2025-02-17 21:55:00,0.4444444444444444,0.32789433965539827,0.5609945492334906
2025-02-18 21:55:00,23215.230829382006,22382.089578075935,24048.372080688077,2025-02-18 21:55:00,153961.44444444444,134351.841970297,173571.04691859186,2025-02-18 21:55:00,0.4444444444444444,0.3268583183454103,0.5620305705434786
2025-02-19 21:55:00,23217.35388486824,22376.9361526011,24057.77161713538,2025-02-19 21:55:00,153961.44444444444,134184.57462961023,173738.31425927865,2025-02-19 21:55:00,0.4444444444444444,0.32583134577647155,0.5630575431124173
2025-02-20 21:55:00,23219.476940354474,22371.84518965714,24067.10869105181,2025-02-20 21:55:00,153961.44444444444,134018.7101747483,173904.17871414058,2025-02-20 21:55:00,0.4444444444444444,0.3248131889120436,0.5640756999768453
2025-02-21 21:55:00,23221.59999584071,22366.81510777154,24076.384883909875,2025-02-21 21:55:00,153961.44444444444,133854.2138884846,174068.67500040427,2025-02-21 21:55:00,0.4444444444444444,0.3238036245496057,0.5650852643392831
2025-02-22 21:55:00,23223.723051326942,22361.84439110115,24085.601711552736,2025-02-22 21:55:00,153961.44444444444,133691.05246231108,174231.8364265778,2025-02-22 21:55:00,0.4444444444444444,0.3228024387492931,0.5660864501395957
2025-02-23 21:55:00,23225.846106813176,22356.931585681323,24094.76062794503,2025-02-23 21:55:00,153961.44444444444,133529.19391768778,174393.6949712011,2025-02-23 21:55:00,0.4444444444444444,0.3218094263045202,0.5670794625843686
2025-02-24 21:55:00,23227.96916229941,22352.075295946306,24103.863028652515,2025-02-24 21:55:00,153961.44444444444,133368.60753286374,174554.28135602514,2025-02-24 21:55:00,0.4444444444444444,0.3208243902508798,0.568064498638009
2025-02-25 21:55:00,23230.092217785645,22347.274181497203,24112.910254074086,2025-02-25 21:55:00,153961.44444444444,133209.263774795,174713.62511409388,2025-02-25 21:55:00,0.4444444444444444,0.31984714140998793,0.5690417474789009
2025-02-26 21:55:00,23232.21527327188,22342.526954096353,24121.903592447405,2025-02-26 21:55:00,153961.44444444444,133051.134235732,174871.75465315688,2025-02-26 21:55:00,0.4444444444444444,0.31887749796528336,0.5700113909236055
2025-02-27 21:55:00,23234.338328758113,22337.832374869038,24130.844282647187,2025-02-27 21:55:00,153961.44444444444,132894.19157409147,175028.6973147974,2025-02-27 21:55:00,0.4444444444444444,0.3179152850670866,0.5709736038218023
2025-02-28 21:55:00,23236.461384244347,22333.189251695272,24139.73351679342,2025-02-28 21:55:00,153961.44444444444,132738.40945926367,175184.4794296252,2025-02-28 21:55:00,0.4444444444444444,0.3169603344644899,0.5719285544243989
2025-03-01 21:55:00,23238.58443973058,22328.596436776177,24148.572442684985,2025-03-01 21:55:00,153961.44444444444,132583.76252003975,175339.12636884913,2025-03-01 21:55:00,0.4444444444444444,0.31601248416188293,0.5728764047270059
2025-03-02 21:55:00,23240.707495216815,22324.05282436081,24157.36216607282,2025-03-02 21:55:00,153961.44444444444,132430.22629637324,175492.66259251564,2025-03-02 21:55:00,0.4444444444444444,0.3150715780981283,0.5738173107907605
2025-03-03 21:55:00,23242.83055070305,22319.55734862074,24166.10375278536,2025-03-03 21:55:00,153961.44444444444,132277.77719421568,175645.1116946732,2025-03-03 21:55:00,0.4444444444444444,0.31413746584658847,0.5747514230423003
2025-03-04 21:55:00,23244.953606189283,22315.108981660804,24174.798230717763,2025-03-04 21:55:00,153961.44444444444,132126.3924431907,175796.49644569817,2025-03-04 21:55:00,0.4444444444444444,0.31321000233437024,0.5756788865545186
2025-03-05 21:55:00,23247.076661675517,22310.706731655493,24183.44659169554,2025-03-05 21:55:00,153961.44444444444,131976.050056891,175946.83883199788,2025-03-05 21:55:00,0.4444444444444444,0.31228904757930415,0.5765998413095847
2025-03-06 21:55:00,23249.19971716175,22306.349641101464,24192.04979322204,2025-03-06 21:55:00,153961.44444444444,131826.7287956027,176096.16009328616,2025-03-06 21:55:00,0.4444444444444444,0.3113744664433076,0.5775144224455813
2025-03-07 21:55:00,23251.322772647985,22302.03678517736,24200.608760118612,2025-03-07 21:55:00,153961.44444444444,131678.4081312781,176244.48075761079,2025-03-07 21:55:00,0.4444444444444444,0.31046612840090193,0.5784227604879869
2025-03-08 21:55:00,23253.44582813422,22297.767270203116,24209.124386065323,2025-03-08 21:55:00,153961.44444444444,131531.0682145926,176391.82067429626,2025-03-08 21:55:00,0.4444444444444444,0.30956390732176065,0.5793249815671282
2025-03-09 21:55:00,23255.568883620454,22293.540232191368,24217.59753504954,2025-03-09 21:55:00,153961.44444444444,131384.68984393743,176538.19904495144,2025-03-09 21:55:00,0.4444444444444444,0.30866768126626287,0.580221207622626
